No.;JOURNAL 2017;Impact_Factor_2017;ARTICLES (included and excluded);Article included or excluded ?;Conclusion;"Biological repetition  (Triplicated refers to > or = three times); or meta-analysis.";More_or_not;Considered as having more than three replicated results  ?;Exclusion criterion note. (gmos = genetically modified organisms created in this study and likely not bulked);Global or pooled p value, limit or result, found (sometimes indicated by global means with pooled results);Post-hoc or individual repeat p value, limit or result, found;Chosen relevant aim/result with categorically distinct groups;Note on study design;Categorically distinct groups;Chosen relevant quantitative parameter;Relevant statistical method(s).;One relevant p value, limit or result.;Factor replicated;Was evidence found for method replication ?;Was evidence found for replication of results ?;Results shown for each of the two, three (or more) experimental replicates ?;p-value or limit found in Abstract;p-value or limit found in Figures or Tables;p-value or limit found in text;p-value or limit found in supplementary file;Further notes.;Further notes 2.;"Risk: Evaluation is for main result. Low = p value or limit clearly for a main result; Medium = unclear if p value or limit  is for main result. Note this is for interest only - and non-main results were not excluded.";Risk: Repetition. Risk that number of replicates recorded is incorrect: Low = number of repeats clear including non-repeated. Medium = doubts arise as to how many times the investigation has been repeated or not. High = unclear how many times the investigation has been repeated or not. ;Risk: Repetition of p value (or p-value limit). Low = clear that p value has been repeated or not repeated. Medium = doubts arise as to whether the p value has been repeated or where the other p-values are (or whether it was obtained from all repeated results combined i.e. a Global p-value(s)). High = unclear whether the p value has been repeated or not. ;Details concerning relevant groups;Evidence for manipulation or random placement of groups during study;Indication of Association study;Notes;ASSOC_EXP;"Risk: reflecting doubts concerning identification of association or experimental: L = low; M = medium, H = high"
69;PLANT JOURNAL;5.775;"Takahashi M, Umetsu K, Oono Y, Higaki T, Blancaflor EB, Rahman A. Small acidic protein 1 and SCFTIR1 ubiquitin proteasome pathway act in concert to induce 2,4-dichlorophenoxyacetic acid-mediated alteration of actin in Arabidopsis roots. The Plant Journal. 2017;89: 940–956. ";Included;Global (triplicated-methods) protocol;Triplicated;Yes - 4;no;n.a.;Yes: from pooled value(s);Not found;"Fig 8: ""Actin mutants show increased resistance to 2,4-dichlorophenoxyacetic acid (2,4-D)-induced root growth inhibition."""; - ;lines Col 0, act 7-4, act 2-1;percent root elongation against control;Student's t-test;p < 0.0001;experiment;"Fig 8: ""mean SE of the experimental means from at least four indepen-
dent experiments """;No;No; - ;"Fig 8: ""Asterisks represent the statis-
tical significance between control and treatment as judged by the Student’s
t-test (**P < 0.001; ***P < 0.0001)."""; - ; - ; - ; - ;L;L;L;lines Col 0, act 7-4, act 2-1;"Methods: ""Two days after stratification at 4°C in
the dark, plates were transferred to a growth chamber """;n.a.; - ;Experimental;L
70;PLANT JOURNAL;5.775;"Pelot KA, Mitchell R, Kwon M, Hagelthorn DM, Wardman JF, Chiang A, et al. Biosynthesis of the psychotropic plant diterpene salvinorin A: Discovery and characterization of the Salvia divinorum clerodienyl diphosphate synthase. The Plant Journal. 2017;89: 885–897. ";Included;Global (replication-error) protocol (s.e.);No p-values found. Replication errors (s.e.) found;no;no;n.a.;Not found;Not found;"Fig 4: ""Organ-specific gene expression analysis of Salvia divinorum diterpene synthases.""";"""error bars represent standard errors (SE) based on two technical and three biological replicates.""";organs;relative transcript abundance;not found;not found;replicate;"""error bars represent standard errors (SE) based on two technical and three biological replicates.""";No;No; - ;Not found - but results are fairly clear; - ; - ; - ; - ;n.a.;L;n.a.;organs;"Methods: ""Salvia divinorum plants were purchased from the Vancouver Seed Bank and propagated using rooted cuttings from mature plants.""";n.a.; - ;Experimental;L
71;PLANT PHYSIOLOGY;5.949;"Driver T, Trivedi DK, McIntosh OA, Dean AP, Goodacre R, Pittman JK. Two Glycerol-3-Phosphate Dehydrogenases from Chlamydomonas Have Distinct Roles in Lipid Metabolism. Plant Physiology. 2017;174: 2083–2097. ";Included;Triple result (repetition) protocol;Triplicated;no;no;n.a.;n.a.;Individual difference given ;"Fig 9: ""Lipid composition of ... GPD3 overexpression lines"" Total PA"; - ;lines versus control;total PA = phosphatidic acids;"""one-way ANOVA""";p < 0.05;GPD3 overexpression line;"Methods: ""three independent GPD3 overexpression lines, GPD3-OE1, GPD3-OE2 and GPD2-OE3""";Yes: Fig 9: Total PA - results for GPD3-OE1, GPD3-OE2 and GPD2-OE3;Yes: Fig 9: Total PA - results for GPD3-OE1, GPD3-OE2 and GPD2-OE3; - ;"Fig 9: ""Asterisks indicate significant difference (p < 0.05"; - ; - ;"""Two independent GPD2 691 overexpression lines, GPD2-OE1 and GPD2-OE2, and three independent GPD3 692 overexpression lines, GPD3-OE1, GPD3-OE2 and GPD2-OE3, were studied further in 693 comparison to non-transformed (CC-48 arg2 wild type) strains."""; - ;L;L;L;lines versus control;"Methods: ""The C. reinhardtii strain cw15 (11/32CW15+) was obtained from the Culture
Collection of Algae and Protozoa, UK""";n.a.; - ;Experimental;L
72;PLANT PHYSIOLOGY;5.949;"Pradhan M, Pandey P, Gase K, Sharaff M, Singh RK, Sethi A, et al. Argonaute 8 (AGO8) Mediates the Elicitation of Direct Defenses against Herbivory. Plant Physiology. 2017;175: 927–946. ";Included;Double result (repetition) protocol;Duplicated;no;no;n.a.;n.a.;Results: Individual difference given ;"Results (from Figure 2): ""Abundance of NaAGO transcripts in the leaves during time-course experiments."" Although Fig 2 shows a time-course - in the Results the comparison at 18 h is emphasized"; - ;Leaf samples from control and treated plants ;W+OS-induced differences in AGO5 and AGO8 transcripts at the 18-h time point ;"""ANOVA (repeated measures wherever applicable) at a significance level of p ≤ 0.05.""";p < 0.01;experiment;"Results: ""This analysis was duplicated, and similar results were obtained. W+OS-induced differences in AGO5 and AGO8 transcripts at the 18-h time point were validated in independent experiments with at least three (independent) biological replicates. """;"Results: ""This analysis was duplicated, and similar results were obtained. W+OS-induced differences in AGO5 and AGO8 transcripts at the 18-h time point were validated in independent experiments with at least three (independent) biological replicates. """;no; - ; - ;"Results: ""Compared with control plants, a significant increase of 3.5-fold or greater in AGO8 transcripts (Student’s t test, t = 5.937, P < 0.05) and a 5-fold or greater increase in AGO5transcripts (Student’s t test, t = 8.261, P < 0.01) were recorded"""; - ; - ; - ;M;L;L;Leaf samples from control and treated plants ;Leaf samples from control and treated plants ;n.a.; - ;Experimental;L
73;PLANT BIOTECHNOLOGY JOURNAL;6.305;"Ge W, Zhang Y, Cheng Z, Hou D, Li X, Gao J. Main regulatory pathways, key genes and microRNAs involved in flower formation and development of moso bamboo (Phyllostachys edulis). Plant Biotechnology Journal. 2017;15: 82–96. ";Included;Global (replication-error) protocol (s.e.);Triplicated. No p-values found. Replication errors (s.e.) found;no;no;n.a.;Not found;Not found - but bars in Fig 11 appear to show significance;"Fig 11: ""Expression patterns of 6 selected miRNAs among nonflowering leaves (CK) and different flower developmental stages (F1, F2, F3 and F4) in
moso bamboo"""; - ;"Fig 11: ""nonflowering leaves (CK) and different flower developmental stages""";relative expression level;Not found;Not found;replicate;"Fig 11: ""Bars
represent mean values of three replicates standard error.""";No;No; - ;Fig 11: letters above bars appear to show significance; - ; - ; - ; - ;n.a.;L;n.a.;"Fig 11: ""nonflowering leaves (CK) and different flower developmental stages""";Not found for study in Fig. 11 ;"Methods: ""Flowering moso bamboo samples at different stages and nonflowering moso bamboo leaves (CK) were collected from Guilin (E 110°170 –110°470; E 25°040 –25°480) in the Guangxi Zhuang Autonomous Region. """;There is also a plant transformation experiment in this paper.;Association;L
74;PLANT BIOTECHNOLOGY JOURNAL;6.305;"Ni M, Ma W, Wang X, Gao M, Dai Y, Wei X, et al. Next-generation transgenic cotton: pyramiding RNAi and Bt counters insect resistance. Plant Biotechnology Journal. 2017;15: 1204–1213. ";Included;Double result (repetition) protocol;Duplicated;no;no;n.a.;n.a.;Results: Individual differences given ;"Fig 4: ""Figure 4 Development time for susceptible (SCD) and resistant (SCD-r1)
larvae of H. armigera fed leaves from seven types of cotton plants""";time is dependent variable;"Fig 4: ""seven types of cotton plants""";development time;"Fig 4: ""significant differences between types of cotton; upper case for SCD and lower case for SCD-r1 (Tukey’s HSD, P < 0.05).""";p < 0.05;"experiment:  Fig 4: ""(a) 2015. (b) 2016.";"Yes: Fig 4: ""(a) 2015. (b) 2016.";"Yes: Fig 4: ""(a) 2015. (b) 2016.";"Yes: Fig 4: ""(a) 2015. (b) 2016."; - ;"Fig. 4 "" asterisks indicate a significant difference between insect strains (t‐tests, ***: P < 0.001, **: P = 0.0012)."""; - ; - ; - ; - ;L;L;L;"Fig 4: ""seven types of cotton plants""";"Fig 4: ""Figure 4 Development time for susceptible (SCD) and resistant (SCD-r1)
larvae of H. armigera fed leaves from seven types of cotton plants""";n.a.; - ;Experimental;L
75;NEW PHYTOLOGIST;7.433;"Prodhan MA, Jost R, Watanabe M, Hoefgen R, Lambers H, Finnegan PM. Tight control of sulfur assimilation: an adaptive mechanism for a plant from a severely phosphorus-impoverished habitat. New Phytologist. 2017;215: 1068–1079. ";Included;Global (triplicated-methods) protocol;Triplicated;Yes - 4;no;n.a.;Yes: from pooled value(s);Not found;"Fig 6: ""Leaf (a) content and (b) concentration (conc.) of molybdenum (Mo) in mature leaves in Hakea prostrata"""; - ;Treatment;Leaf Mo content;"Fig 6: ""ANOVA, separated by Tukey's honestly significant difference (HSD) test (P < 0.05),""";p < 0.05;replicate;"Fig 6: ""Data are the mean SE of four
independent replicates. """;No;No; - ;"Fig 6: ""ignificant differences among treatments were determined by ANOVA,
separated by Tukey’s HSD test (P < 0.05), and are indicated by different letters."""; - ; - ; - ; - ;L;L;L;Treatment;"Methods: ""The washed plants
were transferred to a hydroponics tank""";n.a.; - ;Experimental;L
76;NEW PHYTOLOGIST;7.433;"Martins TR, Jiang P, Rausher MD. How petals change their spots: cis-regulatory re-wiring in Clarkia (Onagraceae). New Phytologist. 2017;216: 510–518. ";Included;Global (replication-error) protocol (s.d.);Triplicated. No p-values found. Replication errors (s.d.) found;no;no;n.a.;Not found;Not found. Error bars (s.d.) shown in Fig 3.;"Fig 3: ""Expression levels of CgMyb1 in Clarkia gracilis."" ""(a) Results of quantitative real-time PCR of CgMyb1 for petal sections with and without spots"""; - ;locations on different petal types;Log(10)fold change in expression;Not found;Not found. Error bars (s.d.) shown in Fig 3.;replicate;"Fig 3: ""Three biological replicates for each phenotype and two technical replicates for each sample were performed. """;No;No; - ;Not found. Error bars (s.d.) shown in Fig 3.; - ; - ; - ; - ;n.a.;L;n.a.;locations on different petal types;"Abstract: ""Co-segregation analyses in F2 individuals segregating for dif-
ferent spot positions, quantitative PCR, and pyrosequencing, were used to confirm the role of
the candidate gene in determining spot position.""";n.a.;The methods do not specify exactly where the plants came from - deduced from Abstract. (There is also a vacuum-infiltration experiment.);Experimental;M
77;PLANT CELL;8.228;"Zhou S, Jiang W, Long F, Cheng S, Yang W, Zhao Y, et al. Rice Homeodomain Protein WOX11 Recruits a Histone Acetyltransferase Complex to Establish Programs of Cell Proliferation of Crown Root Meristem. The Plant Cell. 2017;29: 1088–1104. ";Included;Triple result (repetition) protocol;Four RNAi lines each of GCN5 and ADA2 - each result triplicated;no (not all lines used in each experiment);no (not all lines used in each experiment);n.a.;n.a.;Individual differences given ;"Fig 3A. "" Characterization of Rice GCN5 and ADA2 RNAi Lines.""";Although many results were only duplicated - four lines each of GCN5 and ADA2 were characterized in Fig 3A.;line;relative trancription level;Student\s t-test;p < 0.01;RNAi line;Yes: Fig 3A:  four lines each of GCN5 and ADA2 were characterized in Fig 3A.;Yes: Fig 3A:  four lines each of GCN5 and ADA2 were characterized in Fig 3A.;Yes: Fig 3A:  four lines each of GCN5 and ADA2 were characterized in Fig 3A.; - ;"Fig 3: "" Significant difference between transgenic lines and the wild type (Student’s t tests, P value < 0.01) are marked by double asterisks."""; - ; - ;"""Three biological replicates with independent mRNA isolations were performed, each with three technical repeats."""; - ;M;L;L;line;"Methods: "" For germination culture, seeds were surface-sterilized and germinated in medium containing 0.8% agar supplemented with 3% (w/v) sucrose at 28°C""";n.a.; - ;Experimental;L
78;PLANT CELL;8.228;"Hu Q, Li Y, Wang H et al. Meiotic Chromosome Association 1 Interacts with TOP3α and Regulates Meiotic Recombination in Rice[OPEN]. Plant Cell. 2017;29:1697 - 1708.";Included;Non-replicated protocol;Non-repeated;no;no;n.a.;n.a.;n.a.;"Fig 7: ""Relationship of MEICA1 and ZMM Proteins."" ""(B) The numbers of ZMM foci are elevated in meica1 mutants.""";the sterile mutant rice line has been bulked enough for mapping;line;"""numbers of ZMM foci"" ";"Fig 7: ""Two-tailed Student’ s t tests""";"Fig 7: ""****P < 0.0001""";Not replicated;no;no;no; - ;"Fig 7: ""****P < 0.0001"""; - ; - ; - ; - ;L;L;L;line;"Methods: ""All of the plants were grown in paddy elds during the growing season.""";n.a.; - ;Experimental;L
79;Molecular Plant;9.326;"Chao L-M, Liu Y-Q, Chen D-Y, Xue X-Y, Mao Y-B, Chen X-Y. Arabidopsis Transcription Factors SPL1 and SPL12 Confer Plant Thermotolerance at Reproductive Stage. Molecular Plant. 2017;10: 735–748. ";Included;Double result (repetition) protocol;duplicated ?;no;no;n.a.;n.a.;Individual difference given ;"Fig 8: ""(A) Effects of ABA pretreatment. Inflorescences were pretreated with 100 mM ABA and 4 h later the plants were treated with heat at 42 C for 5 h (ABA +
42 C)""";Although it is stated that data are from one repetition - it is not clear how many study repeats were performed (one instance is also a possibility but given the benefit of the doubt);line;Percentage of plump, wilted, scorched;Fisher's exact test;p < 0.001;experiment ?;"Methods: Heat treatments: ""Each experiment was conducted with at least three biological replicates, and the representative data from one repetition were presented.""";"Methods: Heat treatments: ""Each experiment was conducted with at least three biological replicates, and the representative data from one repetition were presented.""";no; - ;"Fig 8A. ""***P < 0.001 compared with the wild-type by Fisher's exact test (n = 80–100 inflorescences from 24 plants for each treatment and each line)."""; - ; - ; - ; - ;L;L;L;line;"Fig 8: ""(A) Effects of ABA pretreatment. Inflorescences were pretreated with 100 mM ABA and 4 h later the plants were treated with heat at 42 C for 5 h (ABA +
42 C)""";n.a.; - ;Experimental;L
80;Molecular Plant;9.326;"Ma F, Zhang X, Zhu X et al. Dynamic Changes of IsiA-Containing Complexes during Long-Term Iron Deficiency in Synechocystis sp. PCC 6803. Molecular plant. 2017;10 1:143-154.";Included;Non-replicated protocol;Non-repeated;no;no;n.a.;n.a.;n.a.;"Fig 4: ""IsiA Distribution on Sucrose Gradient Fractions Isolated from Synecho-cystis sp. PCC 6803 after 15 Days of Iron Deficiency Treatment."" ""(F) The relative abundance of IsiA to PsaD in (E).""";bulked Synechocystis sp. PCC 6803 cells ;fraction;IsiA/PsaD;not found;not found;Not replicated;no;no;no; - ; not found; - ; - ; p < 10^-4; - ;n.a.;M;n.a.;fraction;"Fig 4: ""IsiA Distribution on Sucrose Gradient Fractions Isolated from Synecho-cystis sp. PCC 6803 after 15 Days of Iron Deficiency Treatment."" ""(F) The relative abundance of IsiA to PsaD in (E).""";n.a.; - ;Experimental;L
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
